,longName,open,previousClose,dayLow,dayHigh,regularMarketOpen,regularMarketPreviousClose,regularMarketDayLow,regularMarketDayHigh,Diferencia
91,"C.H. Robinson Worldwide, Inc.",73.83,74.06,72.915,73.965,73.83,74.06,72.915,73.965,1.8308769119711847
92,"C3.ai, Inc.",28.3,28.29,27.815,28.88,28.3,28.29,27.815,28.88,2.142343837753115
93,Cabot Corporation,88.42,88.63,88.45,90.66,88.42,88.63,88.45,90.66,1.6539438412905976
94,"Caesars Entertainment, Inc.",40.26,40.3,40.2,41.81,40.26,40.3,40.2,41.81,1.6291106604775893
95,"Cal-Maine Foods, Inc.",60.92,60.72,60.38,61.88,60.92,60.72,60.38,61.88,1.253375794943449
96,CalAmp Corp.,2.7,2.9,2.68,2.7662,2.7,2.9,2.68,2.7662,1.822593611690838
97,California Resources Corporation,54.56,54.69,54.23,56.21,54.56,54.69,54.23,56.21,1.2532144605002515
98,"Calix, Inc.",33.8,34.21,33.845,34.365,33.8,34.21,33.845,34.365,1.422252941508538
99,Cambridge Bancorp,63.07,63.6,61.92,66.15,63.07,63.6,61.92,66.15,1.9018997567867841
100,Camden Property Trust,96.73,97.08,96.56,98.55,96.73,97.08,96.56,98.55,1.9612749430272205
101,Camtek Ltd.,78.29,77.87,77.6768,81.625,78.29,77.87,77.6768,81.625,2.2398348495423086
102,Canadian Natural Resources Limited,72.83,73.47,72.79,73.85,72.83,73.47,72.79,73.85,1.3160724828053114
103,Canadian Pacific Kansas City Limited,87.92,87.88,87.23,89.6,87.92,87.88,87.23,89.6,1.4105770351720044
104,"Cano Health, Inc.",0.29,0.26,0.25,0.29,0.29,0.26,0.25,0.29,6.226359788284236
105,"CareMax, Inc.",5.0,4.9,4.5918,5.92,5.0,4.9,4.5918,5.92,4.948751821819501
106,"CarMax, Inc.",82.82,80.85,81.63,83.7399,82.82,80.85,81.63,83.7399,2.159999545855013
107,Carpenter Technology Corporation,68.55,68.55,67.24,68.65,68.55,68.55,67.24,68.65,1.9771126016269625
108,"Carter's, Inc.",83.76,83.76,82.77,84.415,83.76,83.76,82.77,84.415,1.752918306326784
109,Carvana Co.,80.21,78.88,79.52,85.9992,80.21,78.88,79.52,85.9992,3.3052735724468008
110,"Casella Waste Systems, Inc.",97.23,97.22,96.61,98.17,97.23,97.22,96.61,98.17,1.7491702656500894
111,"Cassava Sciences, Inc.",21.83,21.99,21.43,22.36,21.83,21.99,21.43,22.36,1.2773122033582847
112,"Catalent, Inc.",55.92,55.95,55.82,56.09,55.92,55.95,55.82,56.09,1.663853694327735
113,"CAVA Group, Inc.",64.91,65.1,64.63,69.03,64.91,65.1,64.63,69.03,2.4306388475507967
114,Cazoo Group Ltd,2.32,2.13,2.3,3.8115,2.32,2.13,2.3,3.8115,9.09491112486647
